Iteration,Phase3_ArterialPrecision,Phase3_PortalPrecision,Phase3_PreContrastPrecision,Phase3_ArterialRecall,Phase3_PortalRecall,Phase3_PreContrastRecall,Phase3_ArterialF1,Phase3_PortalF1,Phase3_PreContrastF1
255,1,0.666666666666667,0.990990990990991,0.2,0.888888888888889,1,0.333333333333333,0.761904761904762,0.995475113122172
256,1,0.6,1,0.142857142857143,1,1,0.25,0.75,1
257,0.833333333333333,0,0.982758620689655,0.833333333333333,0,1,0.833333333333333,0,0.991304347826087
258,0,0.523809523809524,1,0,1,0.991869918699187,0,0.6875,0.995918367346939
259,0,0.684210526315789,0.973684210526316,0,0.8125,1,0,0.742857142857143,0.986666666666667
260,1,0.733333333333333,0.974789915966387,0.333333333333333,0.785714285714286,1,0.5,0.758620689655172,0.987234042553191
261,0.857142857142857,0,0.947368421052632,0.666666666666667,0,1,0.75,0,0.972972972972973
262,0,0.529411764705882,0.991304347826087,0,0.9,1,0,0.666666666666667,0.995633187772926
263,0.75,0.714285714285714,0.983050847457627,0.6,0.625,1,0.666666666666667,0.666666666666667,0.991452991452991
264,1,0.5,0.982608695652174,0.166666666666667,0.714285714285714,1,0.285714285714286,0.588235294117647,0.991228070175439
265,1,0,0.93859649122807,0.333333333333333,0,1,0.5,0,0.968325791855204
266,0.666666666666667,0.916666666666667,0.991304347826087,0.666666666666667,0.846153846153846,1,0.666666666666667,0.88,0.995633187772926
267,1,0,0.958333333333333,0.666666666666667,0,1,0.8,0,0.978723404255319
268,0.666666666666667,0.818181818181818,0.990476190476191,0.5,0.818181818181818,1,0.571428571428572,0.818181818181818,0.995215311004785
269,1,0.5625,0.991071428571429,0.25,0.9,0.991071428571429,0.4,0.692307692307692,0.991071428571429
270,1,0.615384615384615,0.981818181818182,0.166666666666667,0.8,1,0.285714285714286,0.695652173913043,0.990825688073394
271,0,0,0.894736842105263,0,0,1,0,0,0.944444444444444
272,0,0.6,1,0,1,0.991596638655462,0,0.75,0.9957805907173
273,1,0,0.991935483870968,1,0,1,1,0,0.995951417004049
274,1,0.625,0.991666666666667,0.25,0.909090909090909,1,0.4,0.740740740740741,0.99581589958159
275,1,0,0.966101694915254,0.714285714285714,0,1,0.833333333333333,0,0.982758620689655
276,0.857142857142857,0,0.991596638655462,1,0,1,0.923076923076923,0,0.9957805907173
277,0,0.5,0.991666666666667,0,0.909090909090909,1,0,0.645161290322581,0.99581589958159
278,1,0,0.909090909090909,0.125,0,1,0.222222222222222,0,0.952380952380952
279,1,0.727272727272727,0.992063492063492,0.25,0.888888888888889,1,0.4,0.8,0.99601593625498
280,1,0.666666666666667,0.991803278688525,0.333333333333333,0.909090909090909,0.975806451612903,0.5,0.769230769230769,0.983739837398374
281,0,0.818181818181818,1,0,1,1,0,0.9,1
282,1,0,0.956896551724138,0.625,0,1,0.769230769230769,0,0.977973568281938
283,1,0.666666666666667,0.983606557377049,0.2,0.8,1,0.333333333333333,0.727272727272727,0.991735537190083
284,0.8,0,0.949579831932773,0.571428571428571,0,1,0.666666666666667,0,0.974137931034483
285,0.666666666666667,0.714285714285714,0.992307692307692,0.5,0.714285714285714,1,0.571428571428572,0.714285714285714,0.996138996138996
286,0,0.526315789473684,1,0,1,1,0,0.689655172413793,1
287,1,0,0.955752212389381,0.75,0,1,0.857142857142857,0,0.97737556561086
288,1,0.647058823529412,1,0.25,1,1,0.4,0.785714285714286,1
289,1,0,0.9765625,0.625,0,1,0.769230769230769,0,0.988142292490119
290,1,0.785714285714286,1,0.25,1,1,0.4,0.88,1
291,0,0.571428571428571,0.982456140350877,0,0.857142857142857,1,0,0.685714285714286,0.991150442477876
292,0.5,0.7,0.991596638655462,0.333333333333333,0.777777777777778,0.991596638655462,0.4,0.736842105263158,0.991596638655462
293,0.666666666666667,0,0.971153846153846,0.666666666666667,0,1,0.666666666666667,0,0.985365853658537
294,0.857142857142857,0,0.959677419354839,0.75,0,1,0.8,0,0.979423868312757
295,0.666666666666667,0,0.968503937007874,0.4,0,1,0.5,0,0.984
296,0.666666666666667,0.875,0.991935483870968,0.8,0.7,1,0.727272727272727,0.777777777777778,0.995951417004049
297,0,0.714285714285714,0.991452991452991,0,0.9375,1,0,0.810810810810811,0.995708154506438
298,0.833333333333333,0,0.96551724137931,0.714285714285714,0,1,0.769230769230769,0,0.982456140350877
299,1,0,0.968503937007874,0.666666666666667,0,1,0.8,0,0.984
300,1,0.666666666666667,1,0.142857142857143,1,1,0.25,0.8,1
