Iteration,Accuracy,MacroPrecision,MacroRecall,MacroF1,ArterialPrecision,PortalVenousPrecision,PreContrastPrecision,ArterialRecall,PortalVenousRecall,PreContrastRecall,ArterialF1,PortalVenousF1,PreContrastF1,WeightedPrecision,WeightedRecall,WeightedF1,BalancedAccuracy,CohensKappa,Phase1_Count,Phase1_Accuracy,Phase2_Count,Phase2_Accuracy,Phase3_Count,Phase3_Accuracy,AortaMultiplier,PortalVeinMultiplier,AortaCutoff,PortalVeinCutoff,BoundaryHits,TrainArterial,TrainPortalVenous,TrainPreContrast,TestArterial,TestPortalVenous,TestPreContrast
31,0.973770491803279,0.975974462365591,0.963841807909604,0.969870193063804,0.984375,0.943548387096774,1,0.9,1,0.991525423728814,0.940298507462687,0.970954356846473,0.995744680851064,0.974758725542041,0.973770491803279,0.973509598733937,0.963841807909604,0.959489299530142,59,0.983050847457627,110,0.981818181818182,136,0.963235294117647,0.9,0.21,157.65,100.1325,0,330,554,542,140,234,236
32,0.977049180327869,0.979351032448378,0.969597550306212,0.974449885804275,1,0.938053097345133,1,0.916666666666667,1,0.992125984251969,0.956521739130435,0.968036529680365,0.99604743083004,0.978470912519948,0.977049180327869,0.976981839603033,0.969597550306212,0.964589587514305,56,1,106,0.981132075471698,143,0.965034965034965,1.01,0.12,157.6675,97.21,0,326,576,524,144,212,254
33,0.977049180327869,0.981493121028005,0.969142813872482,0.975278869922072,1,0.953488372093023,0.990990990990991,0.915492957746479,0.991935483870968,1,0.955882352941176,0.972332015810277,0.995475113122172,0.977841203765718,0.977049180327869,0.976849440861432,0.969142813872482,0.964537240050495,56,1,124,0.983870967741935,125,0.96,0.98,0.16,157.69,98.34,0,328,540,558,142,248,220
34,0.967213114754098,0.965196500650217,0.967750257997936,0.966471692346264,0.955882352941177,0.976744186046512,0.962962962962963,0.955882352941177,0.947368421052632,1,0.955882352941177,0.961832061068702,0.981132075471698,0.967393852106014,0.967213114754098,0.967086557282603,0.967750257997936,0.949176831300407,55,1,130,0.976923076923077,120,0.941666666666667,0.89,0.04,157.0875,93.03,0,334,522,570,136,266,208
35,0.980327868852459,0.979988052568698,0.980685281278313,0.980336542953881,0.972222222222222,1,0.967741935483871,0.985915492957746,0.956140350877193,1,0.979020979020979,0.977578475336323,0.983606557377049,0.980842000117516,0.980327868852459,0.980285975685496,0.980685281278313,0.969805468015246,64,1,113,0.991150442477876,128,0.9609375,0.89,-0.13,157.765,86.325,0,328,560,538,142,228,240
36,0.970491803278689,0.966728988603989,0.959832194888682,0.963268247014188,0.95,0.965811965811966,0.984375,0.904761904761905,0.982608695652174,0.992125984251969,0.926829268292683,0.974137931034483,0.988235294117647,0.970275413338938,0.970491803278688,0.970236027292937,0.959832194888682,0.953891893707797,49,0.979591836734694,121,0.966942148760331,135,0.97037037037037,0.86,-0.16,156.77,86.26,0,344,558,524,126,230,254
37,0.963934426229508,0.967359165888578,0.955949185900877,0.961620331180436,0.986111111111111,0.915966386554622,1,0.876543209876543,1,0.991304347826087,0.928104575163399,0.956140350877193,0.995633187772926,0.966279790604766,0.963934426229508,0.963585525992576,0.955949185900877,0.94510079853384,64,0.984375,124,0.919354838709677,117,1,0.8,-0.2,174.4,82.1,0,308,570,548,162,218,230
38,0.944262295081967,0.953907325958505,0.928430462983309,0.940996483719003,1,0.869918699186992,0.991803278688525,0.810810810810811,0.990740740740741,0.983739837398374,0.895522388059701,0.926406926406926,0.987755102040816,0.950632861609455,0.944262295081967,0.943654040391431,0.928430462983309,0.914006136495564,51,1,119,0.941176470588235,135,0.925925925925926,0.94,0.01,157.785,93.505,0,322,572,532,148,216,246
39,0.963934426229508,0.966663948684497,0.958499662711797,0.962564494035634,0.986301369863014,0.955357142857143,0.958333333333333,0.911392405063291,0.972727272727273,0.991379310344828,0.947368421052632,0.963963963963964,0.974576271186441,0.964504133115182,0.963934426229508,0.963701602481381,0.958499662711797,0.945016224720574,60,1,120,0.958333333333333,125,0.952,0.99,-0.28,157.615,82.08,0,312,568,546,158,220,232
40,0.980327868852459,0.979318396316481,0.977603619880043,0.978460256801531,0.972602739726027,0.981481481481482,0.983870967741935,0.959459459459459,0.981481481481482,0.991869918699187,0.965986394557823,0.981481481481482,0.987854251012146,0.980290923842571,0.980327868852459,0.980292019907452,0.977603619880043,0.96985520615415,62,0.983870967741935,115,0.973913043478261,128,0.984375,0.95,-0.0800000000000001,157.55,86.08,0,322,572,532,148,216,246
